00001hung1233            Software Intern                                   Backend development internship                                                                                                                                                                          Google                                            Remote                                            25/hour
00001hung1233            Software Intern                                   Backend internship working with APIs                                                                                                                                                                    Google                                            Remote                                            25/hour
00001hung1233            Software Intern                                   Backend internship working with APIs                                                                                                                                                                    Google                                            Remote                                            25/hour
00001hung1233            Software Intern                                   Backend internship working with APIs                                                                                                                                                                    Google                                            Remote                                            25/hour
00005janeDoe             Software Intern                                   Develop internal tools and assist senior engineers with projects.                                                                                                                                       Tech Corp                                         Remote                                            $25/hour
00006user1               Software Engineer                                 Design, develop, and maintain software applications. Collaborate with cross-functional teams to defi                                                                                                    IBM                                               Austin, TX                                        100,000/year
00007CameronP            Data Analyst Intern                               Analyze data to build predictive models and provide insights to improve business decisions.                                                                                                             Amazon                                            Seattle, WA                                       $50/hr
00008CameronP            Web Developer                                     Utilize Django and React to build and maintain web applications for clients in various industries.                                                                                                      Microsoft                                         Tampa, FL
00009CameronP            Software Intern                                   Backend internship working with APIs                                                                                                                                                                    Google                                            Remote                                            25/hour
00010CameronP            Data Analyst Intern                               Analyze data to build predictive models and provide insights to improve business decisions.                                                                                                             Amazon                                            Seattle, WA                                       $50/hr
00011CameronP            Software Developer Intern                         Develop software applications and collaborate with cross-functional teams to deliver high-quality pr                                                                                                    Developer Inc.                                    Remote                                            $40/hour
